과제명,기관명,담당부서,전화번호,연구기간,연구분야,과제개요,수행기관,수행연구원,계약일자,계약방식,계약금액
집단적 노동분쟁에의  ADR  도입 관련 연구,고용노동부,교섭대표결정과,044-202-8368,2023-06-01 ~ 2023-11-30,노사정책,"ㅇ하기주요쟁점에대하여전문가포럼방식을통하여중점적으로연구할예정-(공정?부노관련ADR해외사례검토)미국NLRB와일본노동위원회등해외의집단분쟁사건에의ADR활용사례를검토하여,집단분쟁에의ADR도입의효과를예측-(공정?부노관련ADR국내도입방안마련)해외사례검토결과를바탕으로①판정이전단계에서,기존화해제도의활성화방안마련및조정/중재등추가적인대안적분쟁해결제도의도입시기존제도와의정합성등에대한검토와②판정을통한사건종결시,구제?시정명령의자율적이행을도모할수있는효율적방안을모색병행",(사)한국고용노사관계학회,이정,,수의 계약,"15,000,000원"
여성고용 관련 통계자료 현황에  대한 분석연구,고용노동부,여성고용정책과,044-202-7474,2023-03-09 ~ 2023-12-24,고용평등실현,여성고용관련지표중일부는(성별임금격차등)산출기준이기관별?국가별로상이*하여통계자료의신뢰성및적정성에대한문제제기가지속됨에따라여성고용관련국내외지표에대한현황파악및분석를통해산출기준을개선할필요ㅇ여성고용관련국내통계와국제통계(OECD등)의산출기준에대해현황및내용등을분석ㅇ향후통계자료작성시동일한산출기준을적용하여해당통계자료의신뢰성및적정성을제고할수있는방안도출,한국노동연구원,최세림,,일반경쟁입찰에 의한 계약,"30,000,000원"
지자체 등 고용복지+센터 참여기관의 워크넷 이용 실태조사 및 워크넷 구인.구직정보 모니터링 방안 연구,고용노동부,고용서비스정책과,044-202-7330,2023-07-28 ~ 2023-12-15,고용정책,"지자체,새일센터,중장년내일센터등고용복지+센터참여기관에서워크넷을이용하여취업알선등서비스를제공함에따라취업알선담당자인식제고,업무프로세스표준화,효율적인구인?구직정보모니터링및워크넷정보를활용한취업?채용지원서비스확대등에관한내용을실태조사,FGI,문헌연구등의방식으로연구",한국직업자격학회,전승환,,경쟁 입찰 후 수의계약,"90,000,000원"
워크넷 구인.구직정보 모니터링 시스템 개선을 위한 구인?구직자 실태조사 및 이용자 수요를 반영한 데이터 표준화 방안 연구,고용노동부,고용서비스정책과,044-202-7330,2023-07-28 ~ 2024-01-31,고용정책,"워크넷이용구인?구직자가확대되면서정확한구인?구직정보제공요구가계속제기됨에따라구인?구직자의워크넷이용실태를정확하게조사하여워크넷구인?구직데이터표준화및모니터링시스템개선등에관한내용을실태조사,FGI,문헌연구등의방식으로연구",한국노동경제학회,양정승,,경쟁 입찰 후 수의계약,"162,000,000원"
통합형 임금정보시스템 구축을 통한 단계적 임금정보 확대 방안 등 연구,고용노동부,노사협력정책과,044-202-7594,2023-04-21 ~ 2023-11-10,노사정책,"ㅇ(필요성)임금체계개편등을위해현장에서는직무정보와임금정보가연계된직무별임금정보에대한수요가크나,현재는임금정보와직무정보가별도의시스템에서분절적으로제공되고있으며양정보가연계되지못하는상황-이에,시스템을통합하고,각각의정보를연계하여제공하는통합형임금정보시스템구축을추진-임금정보와직무정보를통합하는방안및이를위해관련정보를확보하는방안에대한세부적인연구필요ㅇ(내용)기초연구(‘22)를토대로임금정보와직무정보데이터연계등시스템통합방안,세부임금정보제공을위한기존조사보완방안,신규조사필요성등에대해구체적인연구",한국직업자격학회,최기성,,경쟁 입찰 후 수의계약,"40,000,000원"
산업구조변화대응 등 특화훈련 성과분석 및 우수사례 컨설팅,고용노동부,인적자원개발과,044-202-7268,2023-05-12 ~ 2023-12-11,평생학습 및 직업교육체제 구축,"ㅇ산업구조변화대응등특화훈련사업성과제고를위해성과평가체계및지표등을개선·보완하고성과평가를실시하여피드백을제공함으로써성과환류체계구축ㅇ산업구조변화대응등특화훈련의고도화를위해지역수요에기반한특화훈련과정발굴에필요한컨설팅제공ㅇ지역인적자원개발위원회외적합한사업수행기관유형추가발굴ㅇ산업구조변화대응등특화훈련에서수행가능한훈련과정추가발굴및훈련우수사례수집ㅇ운영과정에서지역인적자원개발위원회,고용센터의개선의견에대한검토등",한국직업능력연구원,문한나,,경쟁 입찰 후 수의계약,"60,000,000원"
체불 해결을 위한 책임 강화 방안 및 임금채권보장기금의 사업주 부담금 경감기준 등에 관한 연구,고용노동부,퇴직연금복지과,044-202-7564,2023-05-30 ~ 2023-12-13,임금채권보장,1.과업명:체불해결을위한책임강화방안및임금채권보장기금의사업주부담금경감기준등에관한연구2.과업수행목적ㅇ2018년이후임금체불은감소추세이나반복체불지속으로체불규모는여전히심각한상황으로-형사벌외에효과적인제재방식모색필요ㅇ현행사업주부담금경감기준산식이어렵다는의견이있어보다쉽게활용할수있도록개정필요성제기ㅇ일부사업장이대지급금을다수수급하는상황에서대지급금합리화방안검토3.과업의기간:2023.5.30.～2023.10.29.(5개월)4.과업의주요내용ㅇ사업주에대한형사처벌외에과징금또는징벌적손해배상병과등에관한외국의유사한사례와시사점ㅇ개별법률에서의사업주부담금경감산식과비교하여간편한경감공식도출ㅇ도산대지급금연령별차등지급적정성검토등,한국노동연구원,양승엽,,경쟁 입찰 후 수의계약,"70,000,000원"
고령 퇴직자 재취업 및 직업훈련 욕구 조사,고용노동부,고령사회인력정책과,044-202-7461,2023-04-17 ~ 2023-12-16,고용정책,"○급속한고령화로인한생산연령인구규모의감소로고령층비율증가,노동시장에서고령자의생산성을높이고오래일할수있는여건형성필요-고령층의장래근로희망비율은지속적으로증가(’22년,68.5%)하고있으며,오랜기간노동시장에잔류(평균73세)하기를희망○인구구조변화등초고령사회에대비하고취업희망고령자가노동시장에오래머무를수있도록고령층인적자원활용지원필요-이를위해주된일자리에서퇴직후완전퇴직까지단계적퇴직중인고령자(60세이상)의취업및직업훈련니즈의정확한분석및경로조사연구",(사)한국퇴직자총연합회,고진수,,일반경쟁입찰에 의한 계약,"60,000,000원"
상생의 노사관계 구축을 위한 노동법˙제도 개선방안 연구,고용노동부,고용노동부.노동정책실.노동개혁정책관.노동개혁총괄과,044-202-7748,2023-03-13 ~ 2023-11-30,노사정책,"ㅇ원·하청관계유형및특수성과적용노동법제현황(판례등포함)ㅇ원·하청상생노사협의회운영및활성화를위한세부적방안,중·장기적제도화가능성및방안등연구?검토",(사)한국노동법이론실무학회,박지순,,일반경쟁입찰에 의한 계약,"65,000,000원"
대규모 수질오염에서의 필수업무 및 필수업무 종사자 실태조사,고용노동부,근로기준정책과,044-202-7536,2023-05-09 ~ 2023-10-31,근로조건보호,ㅇ대규모수질오염재난발생시필수업무종사자보호지원을위한지원계획수립에활용할수있는실태조사필요ㅇ연구내용-대규모수질오염재난의유형ㆍ규모등재난발생현황-대규모수질오염재난발생시국민의생명과신체의보호및사회의기능유지를위하여필요한업무의현황-위업무에종사하는사람의범위와근무환경및처우수준에관한사항-위업무에종사하는사람의보호ㆍ지원을위한관련법ㆍ제도및정책추진현황-그밖에필수업무종사자의보호와지원을위한계획의수립및시행에필요한사항,양산부산대학교병원,정새미,,경쟁 입찰 후 수의계약,"50,000,000원"
챗지피티(Chat-GPT) 등 인공지능이 직업능력개발에 미치는 영향 및 활용방안 연구,고용노동부,직업능력정책국 직업능력정책과,044-202-7282,2023-06-20 ~ 2023-09-19,평생학습 및 직업교육체제 구축,"ㅇ최근대화형인공지능인챗지피티(Chat-GPT)이용자가급속도로증가하면서현장에서챗지피티등인공지능을활용한직업능력개발필요성제기ㅇ챗지피티등인공지능이직업능력개발에미치는영향을분석하고,-이를바탕으로인공지능시대직업능력개발정책방향수립,직업훈련사업개편및취업지원연계등직업능력개발전반에걸친챗지피티등인공지능활용방안을마련할필요",(사)한국고용복지학회,정동열,,경쟁 입찰 후 수의계약,"30,000,000원"
산재보험법 시행령 [별표 3] 업무상 질병에 대한 구체적인 인정기준 개정안 마련을 위한 포럼,고용노동부,산재보상정책과,044-202-8842,2023-03-02 ~ 2023-09-30,산재보험,"ㅇ‘21년,’22년연구용역결과에대하여질병계통?유해인자별로구분하여연구진,전문가,노사등이참여하는포럼을개최하여“업무상질병에대한구체적인인정기준”개정안마련",한양대학교 산학협력단,송재철,,일반경쟁입찰에 의한 계약,"30,000,000원"
직업성 암 등에 대한 역학(전문)조사 생략범위 확대방안 연구,고용노동부,산재보상정책과,044-202-8842,2023-03-17 ~ 2023-11-30,산재보험,"ㅇ직업성암등에대한법원판결,판정위결정,역학조사인정사례,해외관련규정?사례등을분석,역학조사생략대상직종,상병등발굴?제시",한림대학교 산학협력단,이혜은,,일반경쟁입찰에 의한 계약,"40,000,000원"
역학(전문)조사 처리절차 업무량 분석 등을 통한 개선방안 연구,고용노동부,산재보상정책과,044-202-8842,2023-03-08 ~ 2023-07-31,산재보험,"ㅇ양연구원의처리절차및업무량분석,국내외유사사례비교분석,역학(전문)조사평가위원회역할조정등개선방안검토및제안",(주)한국능률협회컨설팅,송영욱,,일반경쟁입찰에 의한 계약,"40,000,000원"
사업체기간제근로자현황조사 표본설계 및 추정방법 연구,고용노동부,노동시장조사과,044-202-7258,2023-04-12 ~ 2023-10-11,통계행정지원,ㅇ최신모집단의산업구조변화를반영한표본으로교체하여조사결과의신뢰성제고및조사활용도를높이기위한방안검토-현행사업체기간제근로자현황조사의표본사업체는’18.12월말기준모집단에서추출된표본으로표본의노후화로최신의산업?고용구조반영이어려움-기간제법시행효과및기간제근로자등에대한정책수립기초자료인본조사의활용도제고를위한방안검토,(사)한국통계학회,김규성,,경쟁 입찰 후 수의계약,"30,000,000원"
기업체노동비용조사  표본설계 및 추정방법 연구,고용노동부,노동시장조사과,044-202-7258,2023-03-20 ~ 2023-11-17,통계행정지원,"○최신모집단의산업구조변화를반영한표본으로교체하여조사결과의신뢰성제고및조사활용도를높이기위한방안검토-현행기업체노동비용조사의표본사업체는'18.12월말기준모집단에서추출된표본으로표본의노후화로최신의산업,고용구조반영이어려움-기업활동및근로자복지증진등고용노동여건개선을위한정책수립기초자료로제공되는본조사의활용도제고를위한방안검토",(사)한국통계학회,변종석,,경쟁 입찰 후 수의계약,"30,000,000원"
개정된 한국종사상지위분류의 고용노동통계조사 적용 방안,고용노동부,고용정책실 고용지원정책관 노동시장조사과,044-202-7241,2023-05-16 ~ 2023-12-15,통계행정지원,"개정된한국종사상지위분류의고용노동통계조사적용방안을연구하여고용노동통계조사의실제조사,통계작성등에적용하는데그목적을둔과제",한국노동연구원,성재민,,경쟁 입찰 후 수의계약,"30,000,000원"
신기술 분야 국가기간 전략산업 직종 발굴을 위한 연구,고용노동부,인적자원개발과,044-202-3712,2023-04-27 ~ 2023-06-30,직업능력개발,"○4개신기술분야(디스플레이,이차전지,신소재,바이오)현황파악및업황전망을통해향후인력수요확대여부와크기를점검○4개신기술분야의생산인력비중등인력구조를파악하고기술인력수요를점검○국가기간·전략산업직종훈련대상직종선정등",넥스텔리전스(주),김희성,,경쟁 입찰 후 수의계약,"30,000,000원"
2022년 전국노동조합 조직현황 분석,고용노동부,노사관계법제과,044-202-7610,2023-03-23 ~ 2024-02-23,노사정책,"노동조합조직현황통계는우리나라노동환경분석및각종정책마련등에참고자료로활용되므로노조조직률변동추이,노조조직화경향등에대한다각적분석이필요함",한국노동연구원,조혁진,,경쟁 입찰 후 수의계약,"50,000,000원"
"2023년 공무원, 교원 노사관계 쟁점 연구",고용노동부,공공노사관계과,044-202-7655,2023-03-02 ~ 2023-11-10,노사정책,"ㅁ연구목적ㅇ합리적공무원?교원노사관계를구축하고,ILO핵심협약비준,공무원?교원노동기본권신장등변화하는환경에대응하기위해-공무원?교원노사관계를둘러싼쟁점분석및개선방안모색ㅁ주요연구내용ㅇ공무원?교원노사관계이슈별전문가연구→월1회포럼방식으로발제및토론진행-이슈별현장사례를중심으로쟁점심층분석및개선방향논의",사단법인 한국노동법학회,이승욱,,경쟁 입찰 후 수의계약,"50,000,000원"
소음성 난청 업무개선 방안 마련을 위한 연구,고용노동부,산재예방보상정책국 산재보상정책과,044-202-8839,2023-03-13 ~ 2023-11-24,산재보험,"소음성난청과노인성난청이혼합된경우에는연령증가등업무외적요인에따른청력역치보정필요성이있어,합리적이며,과학적근거에의한방법으로퇴행성기능저하로의난청부분과소음에의한난청부분을구분하는방법을제시",고려대학교 산학협력단,채성원,,경쟁 입찰 후 수의계약,"45,000,000원"
청년일경험  지원사업 모니터링  및 평가 연구,고용노동부,청년취업지원과,044-202-7445,2023-03-16 ~ 2023-12-15,고용정책,청년일경험지원사업모니터링및평가연구,한국직업능력연구원,정란,,일반경쟁입찰에 의한 계약,"100,000,000원"
청년일경험 활성화를 위한 성과관리 방안 연구,고용노동부,청년취업지원과,044-202-7445,2023-03-16 ~ 2023-12-15,고용정책,청년일경험활성화를위한성과관리방안연구,한국직업능력연구원,김봄이,,일반경쟁입찰에 의한 계약,"100,000,000원"
청년채용장려금 사업의 성과분석을 통한 개편방안 연구,고용노동부,공정채용기반과,044-202-7448,2023-03-15 ~ 2023-12-14,고용정책,"□연구목적○2023년에청년고용상황이어려워질것이라는전망이있는상황-이에,청년채용을촉진하기위한사업개선방향을검토할필요○아울러,’21년부터추진된청년채용특별장려금사업이‘23.3월말종료되고,청년일자리도약장려금사업이2년차를맞이함에따라,-두사업의성과분석을통해향후안정적인청년일자리창출을위한청년채용장려금사업개선방안에대해연구할필요□연구내용○외국의청년채용장려금제도현황분석○청년채용특별장려금,청년일자리도약장려금사업참여기업및청년의현황분석*및고용창출·유지·추가고용유발등효과분석○청년일자리도약장려금사업개선방향모색○최근노동시장환경,청년세대특성등을고려한신규청년채용장려금사업의구체적인설계",한국공학대학교 산학협력단,정동열,,일반경쟁입찰에 의한 계약,"40,000,000원"
임금체계 개편과 격차 해소 촉진을 위한 법·제도·정책 개선방안 연구,고용노동부,노사협력정책과,044-202-7590,2023-03-22 ~ 2023-12-15,노사정책,-임금체계개편등을위해개선방안연구,한국고용노사관계학회,권순원,,경쟁 입찰 후 수의계약,"70,000,000원"
미국 노사관계 법·제도 조사연구,고용노동부,기획조정실 국제협력관실 국제협력담당관실,044-202-7135,2023-03-13 ~ 2023-06-30,노사정책,"미국노사관계법·제도배경,연혁및체계분석",사단법인 한국노동법학회,이승욱,,수의 계약,"20,000,000원"
고용안정.직업능력개발사업.실업급여.임금 등 노동시장의 분석정보 통합 제공 방안 연구,고용노동부,고용서비스기반과,044-202-7679,2023-04-11 ~ 2023-11-30,고용보험,현행노동시장분석정보제공시스템분석및개별시스템의개선방안을마련하고국내외노동시장분석정보제공시스템벤치마킹및시사점을도출하는등노동시장분석정보통합제공방안을연구,한국고용정보원,권재혁,,경쟁 입찰 후 수의계약,"55,000,000원"
실업급여수급자 등의 밀착 취업지원서비스를 위한 고용서비스 통합 네트워크 운영 가이드라인 마련 및 사업 모니터링,고용노동부,고용서비스정책과,044-202-7330,2023-03-28 ~ 2023-12-15,고용정책,고용서비스접근성·편의성제고및고용-복지융합서비스의완결적제공을위한고용서비스통합네트워크의내실있는운영을지원-실업급여수급자및취약계층을위한진입상담등맞춤형서비스제공을위한고용서비스통합네트워크운영가이드라인마련-고용서비스통합네트워크운영현황모니터링실시-서비스효과성제고등을위한성과평가및운영개선방안등모색,한국직업자격학회,정동열,,경쟁 입찰 후 수의계약,"70,000,000원"
업종별 취업지원허브 운영 가이드라인 마련 및 모니터링,고용노동부,고용서비스정책과,044-202-7330,2023-03-28 ~ 2023-12-15,고용정책,"취업지원허브운영에필요한가이드라인초안을마련하여이를허브운영에적용하고,허브구축이후지속적인모니터링을실시하여허브의성과를제고-산업별특성과2023년전망및인력소요등분석-해당산업밀집지역에제공되고있는공공고용서비스현황과문제점,사각지대등진단-반도체?조선취업지원허브가이드라인초안을마련하여적용하고,허브구축이후운영현황및성과등에대한모니터링을실시하여취업지원허브가취지에맞게운영될수있도록지원",한국노동연구원,길현종,,경쟁 입찰 후 수의계약,"70,000,000원"
정부인증 가사서비스 시장 활성화를 위한 실태조사 및 정책방안 연구,고용노동부,고용문화개선정책과,044-202-7504,2023-03-27 ~ 2023-12-15,고용정책,"가사근로자법제21조에따라정부인증가사서비스시장,가사근로자근로실태,가사서비스이용현황등실태조사를실시하고,인증제도의현장안착및가사서비스시장활성화를위한정책방안제시",한국노동연구원,조혁진,,경쟁 입찰 후 수의계약,"60,000,000원"
"유연근무에 따른 인사 노무관리, 성과 측정 방법 연구",고용노동부,고용문화개선정책과,044-202-7504,2023-03-30 ~ 2023-11-03,고용정책,"재택,원격근무등유연근무확산에따른인사관리상의문제,노사관계상문제,성과관리상의문제를구체화하고,유연근무환경에서적합한인사노무관리방식및성과관리방안제시",동국대학교 산학협력단,성상현,,경쟁 입찰 후 수의계약,"40,000,000원"
유연근무 활성화 방안 연구(직종 간 갈등 해결 방안 포함),고용노동부,고용문화개선정책과,044-202-7504,2023-03-30 ~ 2023-10-20,고용정책,"유연근무도입에따른직종간갈등,형평성문제등다양한장애요인을검토,해법을모색하여유연근무활성화를위한대책및직종간갈등해결방안제시",한국노동사회연구소,이주환,,일반경쟁입찰에 의한 계약,"40,000,000원"
워크넷ㆍ고용보험ㆍ직업능력개발정보망 등 온라인 고용정보시스템 이용실태 및 개선방안 연구,고용노동부,고용서비스기반과,044-202-7673,2023-03-28 ~ 2023-12-15,고용정책,"ㅇ워크넷,HRD-Net,고용보험시스템의서비스이용실태분석및개선방안연구-워크넷,HRD-Net,고용보험시스템에서제공하는서비스현황정리-각시스템에서제공하는서비스별온라인(웹,모바일)?오프라인서비스이용률(이용자수)을이용자특성(성별?연령등)에따라비교?분석-시스템별이용자만족도및FGI조사등을통한개선사항발굴",한국고용정보원,김강호,,경쟁 입찰 후 수의계약,"80,000,000원"
사업주 직장복귀계획서 제출제도 활성화를 위한 직업재활프로그램 운영수가 개발 및 산재장해인 직업복귀지원 강화 연구,고용노동부,산재보상정책과,044-202-8845,2023-03-09 ~ 2023-09-30,산재보험,ㅇ직장복귀계획서제출제도활성화를위해직업재활프로그램수가개발-산재노동자의신체능력평가및강화를위한직업복귀지원운영수가개선.개발및표준화ㅇ중증산재장해인재해사업장복귀를위한작업및주거환경등개선방안연구,호서대학교 산학협력단,이용재,,경쟁 입찰 후 수의계약,"30,000,000원"
2023년도 노사관계 실태분석 및 평가,고용노동부,노사관계지원과,044-202-7622,2023-03-28 ~ 2023-12-10,노사정책,"2023년주요노사관계실태분석및평가를통해2024년도노사관계를전망하고,주요분규발생시대응방안을제시하는등노사관계안정화를위한정책적대응지원",한국노동연구원,박명준,,경쟁 입찰 후 수의계약,"50,000,000원"
국민취업지원제도 운영성과 분석 및 만족도 조사,고용노동부,국민취업지원기획팀,044-202-7194,2023-03-28 ~ 2023-12-15,고용정책,"국민취업지원제도시행3년차를맞이하여내실있는제도운영을위한운영현황평가및취업성과를종합적으로분석하고,참여자만족도등을반영하여제도개선과제등발굴ㅇ국민취업지원제도참여현황과취업지원서비스성과분석ㅇⅠ유형참여현황,취업성과와만족도조사ㅇ청년참여유형별취업성과분석ㅇ비경활선발형참여자현황및취업성과분석ㅇ민간위탁기관운영현황및평가ㅇ일경험프로그램운영현황및평가",한국노동연구원,이병희,,경쟁 입찰 후 수의계약,"150,000,000원"
2022년 기준 일가정 양립 실태조사 및 지역별 일생활 균형 지수 산출,고용노동부,고용문화개선정책과,044-202-7504,2023-03-13 ~ 2023-12-12,고용정책,"''남녀고용평등과일가정양립지원에관한법률""제6조의3에근거하여모성보호및일가정양립지원제도의도입실태를파악하고자전국의상시근로자5인이상사업체중업종별,사업체규모별로층화추출된5,000개표본사업체의인사담당자를대상으로일가정양립실태조사를실시하고,17개지방자치단체의일생활균형정도를나타내는지역별일생활균형지수를산출함",한국여성정책연구원,전기택,,경쟁 입찰 후 수의계약,"220,000,000원"
기업 도약보장 패키지 성과 모니터링,고용노동부,고용서비스정책과,044-202-7345,2023-03-28 ~ 2023-11-27,고용정책,"<연구필요성>ㅇ노동시장변동성증가에대응하고기업에대한적극적고용서비스제공을목적으로‘23년전고용노동관서로확대운영되는기업도약패키지의내실화를위한운영현황및성과모니터링필요-‘23년신규운영센터를중심으로인프라구축등사업준비,운영상황등을모니터링하고성과분석을통한개선방안도출<연구내용>ㅇ기업도약보장패키지신규·기존운영기관현장방문등을통해운영현황점검및개선방안도출-시설및상담창구등인프라구축,전담인력배치·운영,업무프로세스등운영상황모니터링-전담인력·방문기업대상FGI등을통해사업운영에대한개선의견청취-참여기업/비참여기업간효과비교등성과분석및정책개선사항제시",숙명여자대학교 산학협력단,이영민,,경쟁 입찰 후 수의계약,"50,000,000원"
유해화학물질 유출사고에서의 필수업무 및 필수업무 종사자 실태조사,고용노동부,근로기준정책과,044-202-7536,2023-03-08 ~ 2023-06-30,근로조건보호,ㅇ대규모재난발생시필수업무종사자보호지원을위한지원계획수립에활용할수있는실태조사필요ㅇ연구내용-유해화학물질유출사고재난의유형ㆍ규모등재난발생현황-유해화학물질유출사고재난발생시국민의생명과신체의보호및사회의기능유지를위하여필요한업무의현황-위업무에종사하는사람의범위와근무환경및처우수준에관한사항-위업무에종사하는사람의보호ㆍ지원을위한관련법ㆍ제도및정책추진현황-그밖에필수업무종사자의보호와지원을위한계획의수립및시행에필요한사항,가천대학교 산학협력단,이승현,,일반경쟁입찰에 의한 계약,"50,000,000원"
산재보험 행정처분에 대한 권리구제 절차 연구,고용노동부,산재보상정책과,044-202-8837,2023-03-09 ~ 2023-10-31,산재보험,"ㅇ산재보상불승인등행정처분에대한권리구제절차해외사례(법령등)조사,구제절차간소화방안검토",한국고용노사관계학회,전윤구,,경쟁 입찰 후 수의계약,"40,000,000원"
심판.차별시정 관련 분쟁해결과 개선방안,고용노동부,심판1과,044-202-8331,2023-03-01 ~ 2023-09-30,노동행정지원,"1.대안적분쟁해결기법(ADR)의유형,각유형별표준지침(매뉴얼)및프로세스연구○AAA(AmericanArbitrationAssociation)의“LaborArbitrationRules”등포함2.EEOC(미국),FWC(호주)분쟁해결기구기능및결정례등분석○EEOC(미국),FWC(호주)등해외의노동분쟁해결기구와우리나라노동위원회의현황및기능비교분석○EEOC의차별인정률,제소율,제소한사건의차별인정률(법원단계),차별인정판단기준(매뉴얼등지침)등에대한분석등○EEOC,미국법원,FWC유형별결정사례(CASE)및시정내용분석3.우리나라노동위원회제도개선방안도출○노동위원회심판?차별사건에대안적분쟁해결기법(ADR)을활성화하기위한방안도출○노동위원회심판?차별사건처리절차개선사항,EEOC,FWC등제도도입시정합성을위해개선필요부분과개선방안도출○차별사건에금전배상명령시정신적손해배상명령또는징벌적손해배상명령,제도개선명령가능여부및판단기준○미국등해외분쟁해결기구의판결(정)례분석등을통한우리나라노동위원회의시정명령개선방안도출",사단법인 한국노동법학회,김희성,,경쟁 입찰 후 수의계약,"30,000,000원"
외국인력 수급관련 노동시장 영향 분석 연구,고용노동부,기획조정실 국제협력관실 외국인력담당관실,044-202-7151,2023-03-10 ~ 2023-12-09,고용정책,외국인력수급관련노동시장영향분석연구,한국노동연구원,이규용,,경쟁 입찰 후 수의계약,"90,000,000원"
근로감독 행정 제도적 기반 연구,고용노동부,근로감독기획과,044-202-7537,2023-03-06 ~ 2023-11-30,노동행정지원,"ㅇ국내의근로감독제도와관련된법령및규정등의총정리및분석ㅇ주요국가의근로감독행정의법제도적기반연구및법제도적기반의제시-독자적인근로감독에관한법률제정을모색하고,구체적인법률안에대한성안작업및제시ㅇ근로감독에관한현실적이고구체적인논의-전문가,정책담당자,근로감독관등의의견을청취하여법제도적기반구축을위한방안마련",사단법인 한국노동법학회,노상헌,,일반경쟁입찰에 의한 계약,"40,000,000원"
2022년도 고용노동부 산하 기타공공기관 경영평가,고용노동부,혁신행정담당관실,044-202-7048,2023-03-02 ~ 2023-06-30,정부혁신,"*고용노동부산하기타공공기관의경영실적평가를통해경영효율성을제고하고,경영개선이필요한사항에대해전문적인컨설팅을제공함으로써대국민서비스개선을도모-기관별특성을반영한지표개발및객관적평가결과도출을통해경영개선에기여하기위해서는전문가에의한평가필요",(사)한국행정학회,박형준,,경쟁 입찰 후 수의계약,"49,000,000원"
K-디지털 트레이닝 훈련품질 제고를 위한 발전방안 마련,고용노동부,인적자원개발과,044-202-7137,2023-02-21 ~ 2023-11-27,평생학습 및 직업교육체제 구축,"‘23년부터K-디지털트레이닝의지원범위가디지털분야뿐아니라시스템디스플레이,드론등첨단산업분야까지확대됨에따라,첨단산업분야직업훈련의특성을반영한심사·평가제도개편,규제개선,단가체계개선등K-디지털트레이닝사업발전방안을마련하고자함",한국직업능력연구원,김봄이,,경쟁 입찰 후 수의계약,"60,000,000원"
2024년 최저임금 심의를 위한 임금실태 등 분석,고용노동부,사무국,044-202-8403,2023-02-28 ~ 2023-07-17,고용정책,"연구목적최저임금의결정기준과관련하여유사근로자의임금,노동생산성,소득분배율등에대한실태를분석하여최저임금심의를위한기초자료로활용연구내용최저임금결정기준과관련한분석임금관련다양한통계를활용하여임금동향및미만율·영향률산출과분석노동생산성지수공표자료분석통계원자료를활용한소득분배율지표산출및분석활용방안2024년최저임금심의를위한임금실태등분석최종보고서발간으로최저임금심의에기초자료로활용",한국노동연구원,정진호,,수의 계약,"20,000,000원"
2024년 최저임금 심의를 위한 비혼 단신근로자 실태생계비 분석,고용노동부,사무국,044-202-8403,2023-02-28 ~ 2023-07-17,고용정책,"연구목적최저임금심의를위한기초자료로활용하기위해통계청가계동향조사원자료를가공·분석하여비혼단신근로자의생계비에대한실태를분석연구내용분석대상은15세이상비혼단신근로자(자가,무상주택,사택거주자는제외)분석변수는소득항목을근로소득과기타소득으로구분하여월평균소득액을,실태생계비항목은소비지출과비소비지출로구분하여월평균지출액을산출생계비의수준및증감률비교(최근2년),증감원인분석,요약표작성활용방안최저임금법에명시된결정기준과관련하여최저임금위원회의심의과정에서개최되는각종회의(전원회의,전문위원회,연구위원회등)의중요한기초자료로활용",(사)한국통계학회,이기재,,수의 계약,"20,000,000원"
직업능력개발서비스산업 육성방안 연구,고용노동부,기업훈련지원과,044-202-7281,2023-03-13 ~ 2023-12-12,직업능력개발,ㅇ직업훈련외에기업의종합적인직업능력개발향상을위한실태조사및지원방안검토ㅇ기업이민간의다양한직업능력개발서비스를활용하여근로자의직무능력을향상시킬수있도록직업능력개발서비스산업육성방안검토ㅇ정책의체계적지원을위한법제정안검토,한국기술교육대학교 산학협력단,이진구,,경쟁 입찰 후 수의계약,"70,000,000원"
